http://purl.obolibrary.org/obo/MONDO_0006677	http://www.ebi.ac.uk/efo/EFO_1000838	bile reflux	bile reflux
http://purl.obolibrary.org/obo/MONDO_0006678	http://www.ebi.ac.uk/efo/EFO_1000839	bladder calculus	bladder calculus
http://purl.obolibrary.org/obo/MONDO_0006026	http://www.ebi.ac.uk/efo/EFO_1000018	bladder disease	bladder disease
http://purl.obolibrary.org/obo/MONDO_0004960	http://www.ebi.ac.uk/efo/EFO_0000203	monoclonal gammopathy	monoclonal gammopathy
http://purl.obolibrary.org/obo/MONDO_0006676	http://www.ebi.ac.uk/efo/EFO_1000837	beriberi	beriberi
http://purl.obolibrary.org/obo/MONDO_0006873	http://www.ebi.ac.uk/efo/EFO_1001067	nutritional deficiency disease	nutritional deficiency disease
http://purl.obolibrary.org/obo/MONDO_0006373	http://www.ebi.ac.uk/efo/EFO_1000478	pituitary gland adenoma	Pituitary Gland Adenoma
http://purl.obolibrary.org/obo/MONDO_0005065	http://www.ebi.ac.uk/efo/EFO_0000588	mesothelioma	mesothelioma
http://purl.obolibrary.org/obo/MONDO_0006671	http://www.ebi.ac.uk/efo/EFO_1000832	Bacteroides infectious disease	Bacteroides infectious disease
http://purl.obolibrary.org/obo/MONDO_0006672	http://www.ebi.ac.uk/efo/EFO_1000833	balanitis	balanitis
http://purl.obolibrary.org/obo/MONDO_0005039	http://www.ebi.ac.uk/efo/EFO_0000512	reproductive system disease	reproductive system disease
http://purl.obolibrary.org/obo/MONDO_0006680	http://www.ebi.ac.uk/efo/EFO_1000841	blue nevus	blue nevus
http://purl.obolibrary.org/obo/MONDO_0006681	http://www.ebi.ac.uk/efo/EFO_1000842	Borrelia infectious disease	Borrelia infectious disease
http://purl.obolibrary.org/obo/MONDO_0006679	http://www.ebi.ac.uk/efo/EFO_1000840	bladder neck obstruction	bladder neck obstruction
http://purl.obolibrary.org/obo/MONDO_0006686	http://www.ebi.ac.uk/efo/EFO_1000847	brain stem infarction	brain stem infarction
http://purl.obolibrary.org/obo/MONDO_0005394	http://www.ebi.ac.uk/efo/EFO_0004277	brain infarction	brain infarction
